id,fromCity,toCity,date,departTime,arriveTime,durationMin,train,seatClass,priceRub,seatsLeft
# Москва -> Казань (удобно для видео "город А, потом город Б")
trn-mow-kzn-0700,Москва,Казань,2026-01-10,07:00,19:30,750,Татарстан Экспресс,Плацкарт,3290,48
trn-mow-kzn-0905,Москва,Казань,2026-01-10,09:05,20:40,695,Волга Дневной,Купе,5290,21
trn-mow-kzn-2330,Москва,Казань,2026-01-10,23:30,11:50,740,Ночной Комфорт,СВ,8990,8

# Санкт-Петербург -> Москва
trn-spb-mow-0640,Санкт-Петербург,Москва,2026-01-10,06:40,10:55,255,Сапсан 751,Эконом,4590,72
trn-spb-mow-1510,Санкт-Петербург,Москва,2026-01-10,15:10,19:20,250,Сапсан 779,Бизнес,9990,12

# Москва -> Сочи
trn-mow-sch-0800,Москва,Сочи,2026-02-05,08:00,10:10,1570,Южный Берег,Плацкарт,4890,63
trn-mow-sch-1020,Москва,Сочи,2026-02-05,10:20,11:40,1580,Черноморский,Купе,7390,27
trn-mow-sch-1900,Москва,Сочи,2026-02-05,19:00,20:30,1590,Премиум Юг,СВ,12990,6
