timestamp,level,service,message,http_status,response_time_ms
2024-01-26 10:00:01,INFO,api-gateway,Запрос обработан,200,45
2024-01-26 10:00:15,ERROR,auth-service,Таймаут подключения к БД,500,3000
2024-01-26 10:00:23,WARN,api-gateway,Приближение к лимиту запросов,200,52
2024-01-26 10:00:45,ERROR,payment-service,Таймаут платёжного шлюза,504,5000
2024-01-26 10:01:12,INFO,user-service,Профиль обновлён,200,123
2024-01-26 10:01:34,ERROR,auth-service,Таймаут подключения к БД,500,3100
2024-01-26 10:01:56,INFO,api-gateway,Запрос обработан,200,38
2024-01-26 10:02:11,ERROR,auth-service,Таймаут подключения к БД,500,2900
2024-01-26 10:02:29,ERROR,payment-service,Недостаточно средств,400,67
2024-01-26 10:02:47,WARN,user-service,Промах кэша,200,234
2024-01-26 10:03:05,INFO,api-gateway,Запрос обработан,200,41
2024-01-26 10:03:23,ERROR,auth-service,Невалидный токен,401,15
2024-01-26 10:03:41,INFO,payment-service,Платёж проведён,200,456
2024-01-26 10:03:59,ERROR,auth-service,Таймаут подключения к БД,500,3000
2024-01-26 10:04:17,WARN,api-gateway,Обнаружена высокая задержка,200,1200
2024-01-26 10:04:35,INFO,user-service,Пользователь вошёл,200,78
2024-01-26 10:04:53,ERROR,payment-service,Таймаут платёжного шлюза,504,5100
2024-01-26 10:05:11,ERROR,auth-service,Таймаут подключения к БД,500,3000
2024-01-26 10:05:29,INFO,api-gateway,Запрос обработан,200,43
2024-01-26 10:05:47,ERROR,api-gateway,Сервис недоступен,503,100
2024-01-26 10:06:05,INFO,user-service,Просмотр профиля,200,91
2024-01-26 10:06:23,ERROR,auth-service,Таймаут подключения к БД,500,3200
2024-01-26 10:06:41,WARN,payment-service,Повторная попытка,200,234
2024-01-26 10:06:59,INFO,api-gateway,Запрос обработан,200,47
2024-01-26 10:07:17,ERROR,auth-service,Таймаут подключения к БД,500,2800
2024-01-26 10:07:35,ERROR,payment-service,Платёж отклонён,400,89
2024-01-26 10:07:53,INFO,user-service,Настройки обновлены,200,145
2024-01-26 10:08:11,ERROR,auth-service,Таймаут подключения к БД,500,3000
2024-01-26 10:08:29,WARN,api-gateway,Необычный паттерн трафика,200,55
2024-01-26 10:08:47,INFO,payment-service,Возврат оформлен,200,678
2024-01-26 10:09:05,ERROR,auth-service,Таймаут подключения к БД,500,3100
2024-01-26 10:09:23,INFO,api-gateway,Запрос обработан,200,39
2024-01-26 10:09:41,ERROR,payment-service,Таймаут платёжного шлюза,504,4800
2024-01-26 10:09:59,ERROR,auth-service,Таймаут подключения к БД,500,3000
2024-01-26 10:10:17,INFO,user-service,Пароль изменён,200,156
2024-01-26 10:10:35,WARN,api-gateway,Высокое потребление памяти,200,62
2024-01-26 10:10:53,ERROR,auth-service,Таймаут подключения к БД,500,2950
2024-01-26 10:11:11,INFO,payment-service,Платёж инициирован,200,234
2024-01-26 10:11:29,ERROR,api-gateway,Таймаут бэкенда,504,3000
2024-01-26 10:11:47,ERROR,auth-service,Таймаут подключения к БД,500,3000
2024-01-26 10:12:05,INFO,user-service,Email подтверждён,200,87
2024-01-26 10:12:23,ERROR,payment-service,Ошибка валидации карты,400,45
2024-01-26 10:12:41,ERROR,auth-service,Таймаут подключения к БД,500,3000
2024-01-26 10:12:59,INFO,api-gateway,Запрос обработан,200,51
2024-01-26 10:13:17,WARN,user-service,Предупреждение: сессия истекает,200,23
2024-01-26 10:13:35,ERROR,auth-service,Невалидный токен,401,12
2024-01-26 10:13:53,INFO,payment-service,Подписка продлена,200,345
2024-01-26 10:14:11,ERROR,payment-service,Таймаут платёжного шлюза,504,5200
2024-01-26 10:14:29,ERROR,auth-service,Таймаут подключения к БД,500,3000
2024-01-26 10:14:47,INFO,api-gateway,Проверка здоровья пройдена,200,12
